Tue Jul  9 09:52:18 2024    output.prof

         22057664 function calls (20662531 primitive calls) in 18.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    172/1    0.001    0.000   18.197   18.197 {built-in method builtins.exec}
        1    0.002    0.002   18.195   18.195 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:768(main)
       10    0.001    0.000    9.920    0.992 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:343(_compile_for_args)
   238/10    0.003    0.000    9.848    0.985 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:859(compile)
    71/10    0.000    0.000    9.844    0.984 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:79(compile)
    71/10    0.000    0.000    9.844    0.984 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:86(_compile_cached)
    71/10    0.002    0.000    9.844    0.984 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:101(_compile_core)
    71/10    0.000    0.000    9.840    0.984 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:718(compile_extra)
 4430/516    0.006    0.000    9.554    0.019 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
   132/10    0.001    0.000    9.490    0.949 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:432(compile_extra)
   132/10    0.000    0.000    9.482    0.948 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:501(_compile_bytecode)
   132/10    0.001    0.000    9.482    0.948 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:455(_compile_core)
   132/10    0.005    0.000    9.479    0.948 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
 3432/260    0.044    0.000    9.475    0.036 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_machinery.py:268(_runPass)
10296/780    0.006    0.000    9.403    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_machinery.py:272(check)
   132/58    0.004    0.000    7.718    0.133 /opt/homebrew/lib/python3.11/site-packages/numba/core/typed_passes.py:437(run_pass)
   132/38    0.001    0.000    5.408    0.142 /opt/homebrew/lib/python3.11/site-packages/numba/core/typed_passes.py:105(run_pass)
   132/38    0.001    0.000    5.407    0.142 /opt/homebrew/lib/python3.11/site-packages/numba/core/typed_passes.py:68(type_inference_stage)
   132/38    0.001    0.000    5.387    0.142 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:1072(propagate)
   267/77    0.005    0.000    5.385    0.070 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:147(propagate)
 1645/671    0.008    0.000    5.332    0.008 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:585(resolve)
 1979/729    0.001    0.000    5.320    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:189(resolve_function_type)
 1645/671    0.001    0.000    5.319    0.008 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:1539(resolve_call)
 1979/729    0.003    0.000    5.317    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
   228/97    0.001    0.000    5.170    0.053 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/functions.py:534(get_call_type)
   228/97    0.001    0.000    5.168    0.053 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:303(get_call_template)
  790/252    0.004    0.000    5.124    0.020 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:575(__call__)
1866/1016    0.020    0.000    4.732    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/functions.py:281(get_call_type)
8939/4795    0.008    0.000    4.641    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:348(apply)
        1    0.001    0.001    4.575    4.575 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:220(eliminate_obstructed_facets)
2614/1274    0.003    0.000    4.561    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:606(generic)
2614/1274    0.005    0.000    4.551    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:697(_get_impl)
  243/122    0.002    0.000    4.496    0.037 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:748(_build_impl)
   132/58    0.001    0.000    4.226    0.073 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:182(lower)
    58406    3.493    0.000    4.010    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/ffi.py:190(__call__)
        1    0.009    0.009    3.827    3.827 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:496(calculate_initial_temperatures)
        1    0.000    0.000    3.815    3.815 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1902(__call__)
       64    0.000    0.000    3.796    0.059 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1638(_get_outputs)
